epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,5579.17,0.40421,0.27755,0.86393,0.98784,0.9791,0.98909,0.93636,0.36846,0.2119,0.88622,0.000155581,0.000155581,0.000155581
160,5613.44,0.40778,0.27071,0.86561,0.98766,0.97789,0.98828,0.93635,0.35142,0.2165,0.88107,0.000152046,0.000152046,0.000152046
161,5647.66,0.40069,0.27626,0.8588,0.98864,0.97751,0.98841,0.92991,0.37706,0.231,0.88625,0.000148512,0.000148512,0.000148512
162,5681.81,0.39396,0.26614,0.86181,0.98201,0.975,0.98824,0.93497,0.38103,0.23298,0.88201,0.000144978,0.000144978,0.000144978
163,5716.29,0.43405,0.29788,0.87286,0.99105,0.96436,0.98824,0.92975,0.38866,0.22826,0.89141,0.000141443,0.000141443,0.000141443
164,5750.87,0.38292,0.27528,0.85326,0.98749,0.97587,0.98924,0.9286,0.38579,0.22658,0.88675,0.000137909,0.000137909,0.000137909
165,5785.05,0.39006,0.27374,0.85891,0.98003,0.9701,0.98848,0.92628,0.39827,0.24197,0.89457,0.000134375,0.000134375,0.000134375
166,5819.2,0.39062,0.26618,0.85912,0.98305,0.96917,0.98916,0.93536,0.3677,0.22756,0.88423,0.000130841,0.000130841,0.000130841
167,5853.29,0.38167,0.26105,0.85353,0.98338,0.9682,0.98814,0.93644,0.36562,0.22939,0.88257,0.000127306,0.000127306,0.000127306
168,5887.37,0.40159,0.2687,0.85914,0.98139,0.97046,0.98823,0.93799,0.3535,0.22298,0.87823,0.000123772,0.000123772,0.000123772
169,5922.13,0.41034,0.27638,0.86017,0.98392,0.9703,0.98862,0.93893,0.3667,0.22546,0.88533,0.000120238,0.000120238,0.000120238
170,5956.42,0.38459,0.27111,0.84689,0.99014,0.96476,0.98982,0.93691,0.35198,0.21507,0.88522,0.000116703,0.000116703,0.000116703
